"name","country","pop"
"Sosnowiec","Poland","227295"
"Staryy Oskol","Russia","226977"
"Neue Neustadt","Germany","226851"
"Radom","Poland","226794"
"Groznyy","Russia","226100"
"Sector 1","Romania","225453"
"Oviedo","Spain","224005"
"Santa Cruz de Tenerife","Spain","222417"
"Graz","Austria","222326"
"Shakhty","Russia","221312"
"Blagoveshchensk","Russia","221296"
"Banja Luka","Bosnia and Herzegovina","221106"
"Babruysk","Belarus","220517"
"Fuencarral-El Pardo","Spain","220085"
"Messina","Italy","219948"
"Badalona","Spain","219547"
"Oberhausen","Germany","219176"
"Verona","Italy","219103"
"Prokop'yevsk","Russia","219000"
"Rybinsk","Russia","216724"
"Vykhino-Zhulebino","Russia","216000"
"Freiburg","Germany","215966"
"Northampton","United Kingdom","215963"
"Zelenograd","Russia","215727"
"Archway","United Kingdom","215667"
"Biysk","Russia","215430"
"Novi Sad","Serbia","215400"
"Velikiy Novgorod","Russia","215062"
"Centralniy","Russia","214625"
"Lutsk","Ukraine","213661"
"Bergen","Norway","213585"
"Braila","Romania","213569"
"Norwich","United Kingdom","213166"
"Mokotow","Poland","212670"
"Luebeck","Germany","212207"
"Cartagena","Spain","211996"
"Terrassa","Spain","210941"
"Eindhoven","Netherlands","209620"
"Rennes","France","209375"
"Torun","Poland","208717"
"Kielce","Poland","208598"
"Jerez de la Frontera","Spain","207532"
"Oradea","Romania","206614"
"Sabadell","Spain","206493"
"Mostoles","Spain","206478"
"Linz","Austria","204846"
"Alcala de Henares","Spain","204574"
"Ivano-Frankivsk","Ukraine","204200"
"Debrecen","Hungary","204124"
"Padova","Italy","203725"
"Erfurt","Germany","203254"
"Vasyl'evsky Ostrov","Russia","203058"
"Tampere","Finland","202687"
"Harburg","Germany","202571"
"Pskov","Russia","201990"
"Favoriten","Austria","201882"
"Nicosia","Cyprus","200452"
"Charleroi","Belgium","200132"
"Severnyy","Russia","200000"
"Tilburg","Netherlands","199613"
"Balakovo","Russia","199572"
"Armavir","Russia","199548"
"Bila Tserkva","Ukraine","199163"
"Dudley","United Kingdom","199059"
"Hagen","Germany","198972"
"Gliwice","Poland","198835"
"Pamplona","Spain","198491"
"Rostock","Germany","198293"
"Fuenlabrada","Spain","197836"
"Aberdeen","United Kingdom","196670"
"Reims","France","196565"
"Engel's","Russia","196011"
"Burgas","Bulgaria","195966"
"Kassel","Germany","194501"
"Severodvinsk","Russia","194292"
"Portsmouth","United Kingdom","194150"
"Newcastle upon Tyne","United Kingdom","192382"
"Klaipeda","Lithuania","192307"
"Zabrze","Poland","192177"
"Zlatoust","Russia","191366"
"Cork","Ireland","190384"
"Vantaa","Finland","190058"
"Syzran'","Russia","189338"
"Bytom","Poland","189186"
"Almeria","Spain","188810"
"Praga Poludnie","Poland","187845"
"Sutton","United Kingdom","187600"
"Petropavlovsk-Kamchatsky","Russia","187282"
"Trieste","Italy","187056"
"Donaustadt","Austria","187007"
"Leganes","Spain","186066"
"Le Havre","France","185972"
"Swindon","United Kingdom","185609"
"Dun Laoghaire","Ireland","185400"
"San Sebastian","Spain","185357"
"Hamm","Germany","185327"
"Mainz","Germany","184997"
"Brescia","Italy","184826"
"Geneve","Switzerland","183981"
"Cergy-Pontoise","France","183430"
"Korolyov","Russia","183402"
"Sants-Montjuic","Spain","183120"
"Santander","Spain","182700"
"Liege","Belgium","182597"
"Kamensk-Ural'skiy","Russia","182500"
"Prato","Italy","181820"
"Saarbruecken","Germany","181227"
"Groningen","Netherlands","181194"
"Taranto","Italy","181082"
"Crawley","United Kingdom","180508"
"Castello de la Plana","Spain","180005"
"Yasenevo","Russia","180000"
"Podolsk","Russia","179400"
"Burgos","Spain","178966"
"Amadora","Portugal","178858"
"Ipswich","United Kingdom","178835"
"Bielsko-Biala","Poland","176515"
"Yuzhno-Sakhalinsk","Russia","176484"
"Almere Stad","Netherlands","176432"
"Split","Croatia","176314"
"Saint-Etienne","France","176280"
"Turku","Finland","175945"
"Wigan","United Kingdom","175405"
"Kramators'k","Ukraine","173700"
"Croydon","United Kingdom","173314"
"Miskolc","Hungary","172637"
"Walsall","United Kingdom","172141"
"Herne","Germany","172108"
"Lyublino","Russia","172000"
"Mansfield","United Kingdom","171958"
"Olsztyn","Poland","171803"
"Bacau","Romania","171396"
"Oxford","United Kingdom","171380"
"Muelheim","Germany","171000"
"Albacete","Spain","169716"
"Reggio Calabria","Italy","169140"
"Arad","Romania","169065"
"Baranovichi","Belarus","168772"
"Toulon","France","168701"
"Angers","France","168279"
"Horta-Guinardo","Spain","168092"
"Patra","Greece","168034"
"Alcorcon","Spain","167967"
"Berezniki","Russia","167748"
"Volgodonsk","Russia","167731"
"Breda","Netherlands","167673"
"Pitesti","Romania","167669"
"Miass","Russia","167500"
"Abakan","Russia","167289"
"Neukoelln","Germany","167248"
"Getafe","Spain","167164"
"Novocherkassk","Russia","166974"
"Osnabrueck","Germany","166462"
"Nou Barris","Spain","166310"
"Warrington","United Kingdom","165456"
"Szeged","Hungary","164883"
"Basel","Switzerland","164488"
"Zenica","Bosnia and Herzegovina","164423"
"Solingen","Germany","164359"
"Pilsen","Czech Republic","164180"
"Nazran'","Russia","164131"
"Slough","United Kingdom","163777"
"Piraeus","Greece","163688"
"Bournemouth","United Kingdom","163600"
"Peterborough","United Kingdom","163379"
"Ludwigshafen am Rhein","Germany","163196"
"Floridsdorf","Austria","162779"
"Leverkusen","Germany","162738"
"Hortaleza","Spain","161661"
"Rubtsovsk","Russia","161065"
"Mytishchi","Russia","160542"
"Salavat","Russia","159893"
"Oldenburg","Germany","159218"
"Bibirevo","Russia","159000"
"Khoroshevo-Mnevniki","Russia","159000"
"Modena","Italy","158886"
"Nijmegen","Netherlands","158732"
"Grenoble","France","158552"
"Cambridge","United Kingdom","158434"
"Rzeszow","Poland","158382"
"Doncaster","United Kingdom","158141"
"Melitopol","Ukraine","158000"
"Gol'yanovo","Russia","158000"
"Admiralteisky","Russia","157897"
"San Blas-Canillejas","Spain","157367"
"Ussuriysk","Russia","157068"
"Tiraspol","Moldova","157000"
"Pecs","Hungary","156649"
"Ruse","Bulgaria","156238"
